000000000001011000000100000000000000	000000000000100000000000100000010100	29	1	22	-1	BLACK	0.4809
000000000001011100001100000001000000	001001000000100010000000100000010100	22	1	32	-1	BLACK	0.43351
000000000000000000000010000000100110	000000000000001100000000100000010000	32	1	13	-1	BLACK	0.47012
000000000001100000000001000000010000	000000000000010100000110000000000000	10	0	30	0	BLACK	0.4365
000000000000100000000101000001001000	000100000001000000001000000000100000	0	0	27	1	WHITE	0.4489
001000000001010000010100000001000000	000001000000100000001001000000010000	32	-1	4	-1	WHITE	0.47673
000000000000011000000001000000000000	000000000001100000000100000000000000	3	1	15	1	BLACK	0.46612
010000000000011000000001000000100000	000000000001100000000100000000010000	22	0	10	0	WHITE	0.41365
010000000000011000000001000000100000	000000000001100000001100000000010000	22	1	19	0	BLACK	0.43482
000000000001010000001100000000000000	000001000000000000010001000000000000	14	1	12	0	WHITE	0.49149
000000000001010000001110000000010000	010011000000100000010001000000000000	2	0	3	0	BLACK	0.4264
000000000000010000000101010000000000	000000000001100000000010000001000000	24	1	3	0	BLACK	0.42213
001000000000010000010101010000000000	000000000001100000001010000001000000	30	1	28	-1	WHITE	0.41782
000000000001100000001100000011000000	001010000010010000010000000000001000	31	1	30	1	BLACK	0.43577
000000000001100000001000000000100000	000000000010010000000001000000000000	3	0	21	1	WHITE	0.44589
001000000001000000001100000000000000	000000000000000010000010000001001000	12	-1	31	1	BLACK	0.49375
011000000001000000001100000000100000	000000000000000010000010000001011000	24	-1	4	-1	WHITE	0.58947
011000000001000000001100000000100000	000000000000100010000010000001011000	0	1	3	1	BLACK	0.44082
000001010001010000000100010000101000	000000000000101100000011000001000110	6	1	4	0	BLACK	0.44378
000000110010100000000001000000000010	000000000001001010000010000000001000	15	-1	8	-1	WHITE	0.44969
000000111010100000000101000000000010	000001000001001010000010101000001000	15	1	30	1	BLACK	0.47925
000000000111001010001011000000000110	001000000000110100010100110000001000	30	-1	5	-1	WHITE	0.42666
000000100001100110000101000000000010	010100010000001000010010110000000000	10	1	2	0	BLACK	0.48762
000100000000010000000101000000000000	000001100000000000000010000000000100	12	1	30	-1	BLACK	0.42608
000001100000110000000100100000000000	000000000000001000000011000001001100	4	1	31	1	BLACK	0.46243
000001100000110000000100100000100000	000100000000001000000011000001001100	7	1	11	1	BLACK	0.42492
000000000000100000000101000000010000	000110000000010000000010000000000000	5	0	15	0	BLACK	0.47593
000000000000000000000110000000000000	000000000000110000000000000000000000	23	1	14	0	BLACK	0.44561
000000000001000100000011000001000000	000011000000011000000100000000000000	24	0	3	0	BLACK	0.44441
000100000000110000000000000000000000	100000000010000000000100000000000000	14	1	20	1	BLACK	0.47336
000001100000001110000010000000000000	000000000000010001000000100100100000	29	0	7	0	WHITE	0.54403
000011100000101110000011000000000000	000100010000010001000000100100101000	31	-1	20	0	WHITE	0.57213
