subject_index,color,Game_theoretic_value,Confirmed,0_pieces,1_pieces,value_Zeyan ,confirmed_Zeyan
1,0,1,1,8409160,4311785504,1,1
0,1,1,1,1082150984,4311785504,1,1
1,0,1,1,1082150984,4313882656,1,1
0,0,0,0,0,0,0,0
1,1,0,0,16777216,0,0,0
0,0,0,0,16777216,4096,0,0
1,1,0,0,20971520,4096,0,0
0,0,0,0,20971520,8392704,0,0
1,1,0,0,20987904,8392704,0,0
0,0,1,1,20987904,8392720,1,1
1,1,1,1,20987968,8392720,1,1
0,0,1,1,20987968,1082134544,1,1
1,1,-1,1,8610922560,1082134544,-1,1
0,0,-1,1,8610922560,1082167312,-1,1
1,1,-1,1,8610988096,1082167312,-1,1
0,0,-1,1,8610988096,1082167568,-1,1
1,1,-1,1,8613085248,1082167568,-1,1
0,0,-1,1,8613085248,1083216144,-1,1
1,1,-1,1,8613087296,1083216144,-1,1
1,0,0,0,0,0,0,0
0,1,0,0,4096,0,0,0
1,0,0,0,4096,8388608,0,0
0,1,0,0,2101248,8388608,0,0
1,0,0,0,2101248,25165824,0,0
0,1,1,1,6295552,25165824,1,1
1,0,1,1,6295552,25182208,1,1
0,1,0,0,6295584,25182208,1,1
1,0,0,0,6295584,25182224,1,1
0,1,0,0,17186164768,25182224,1,1
1,0,1,1,17186164768,25214992,1,1
0,1,0,0,17186230304,25214992,0,0
1,0,0,0,17186230304,2172698640,0,1
0,1,0,0,17186230432,2172698640,0,1
1,0,0,0,17186230432,2206253072,0,1
0,1,0,0,17253339296,2206253072,0,1
1,0,1,1,17253339296,2743123984,1,1
0,1,1,1,18327081120,2743123984,1,1
1,0,0,0,18327081120,2743123992,1,1
0,1,0,0,18327089312,2743123992,0,1
1,0,0,0,18327089312,2743126040,0,1
0,1,0,0,18327089316,2743126040,0,1
1,0,0,0,18327089316,7038093336,0,1
0,1,0,0,18327089380,7038093336,0,1
1,0,0,0,18327089380,7038093592,0,1
0,0,0,0,0,0,0,0
1,1,0,0,16384,0,0,0
0,0,0,0,16384,4096,0,0
1,1,0,0,49152,4096,0,0
0,0,0,0,49152,69632,0,0
1,1,0,0,4243456,69632,0,0
0,0,0,0,4243456,1073811456,1,1
1,1,0,0,21020672,1073811456,0,0
0,0,1,1,21020672,1082200064,1,1
1,1,0,0,21020688,1082200064,1,1
0,0,0,0,21020688,18262069248,1,1
1,1,0,0,21028880,18262069248,0,0
0,0,0,0,21028880,20409552896,0,0
1,1,-1,1,23126032,20409552896,-1,1
0,0,-1,1,23126032,24704520192,-1,1
1,1,-1,1,8613060624,24704520192,-1,1
1,0,0,0,0,0,0,0
0,1,0,0,4096,0,0,0
1,0,0,0,4096,16777216,0,0
0,1,0,0,20480,16777216,0,0
1,0,1,1,20480,16785408,0,0
0,1,0,0,4214784,16785408,1,1
1,0,0,0,4214784,16785472,1,1
0,1,0,0,4215808,16785472,0,0
1,0,0,0,4215808,25174080,1,1
0,1,-1,1,4281344,25174080,-1,1
1,0,-1,1,4281344,25206848,-1,1
0,1,-1,1,8594215936,25206848,-1,1
1,0,-1,1,8594215936,25206976,-1,1
0,1,-1,1,10741699584,25206976,-1,1
1,0,-1,1,10741699584,25207008,-1,1
0,1,-1,1,10741699600,25207008,-1,1
0,0,0,0,0,0,0,0
